,timestamp,extracted_value,query
0,2022-01-01 00:00:00,51,BNB
1,2022-01-01 01:00:00,58,BNB
2,2022-01-01 02:00:00,65,BNB
3,2022-01-01 03:00:00,53,BNB
4,2022-01-01 04:00:00,53,BNB
5,2022-01-01 05:00:00,52,BNB
6,2022-01-01 06:00:00,55,BNB
7,2022-01-01 07:00:00,47,BNB
8,2022-01-01 08:00:00,55,BNB
9,2022-01-01 09:00:00,51,BNB
10,2022-01-01 10:00:00,61,BNB
11,2022-01-01 11:00:00,53,BNB
12,2022-01-01 12:00:00,49,BNB
13,2022-01-01 13:00:00,64,BNB
14,2022-01-01 14:00:00,56,BNB
15,2022-01-01 15:00:00,51,BNB
16,2022-01-01 16:00:00,59,BNB
17,2022-01-01 17:00:00,65,BNB
18,2022-01-01 18:00:00,71,BNB
19,2022-01-01 19:00:00,67,BNB
20,2022-01-01 20:00:00,81,BNB
21,2022-01-01 21:00:00,74,BNB
22,2022-01-01 22:00:00,70,BNB
23,2022-01-01 23:00:00,79,BNB
24,2022-01-02 00:00:00,89,BNB
25,2022-01-02 01:00:00,81,BNB
26,2022-01-02 02:00:00,73,BNB
27,2022-01-02 03:00:00,76,BNB
28,2022-01-02 04:00:00,68,BNB
29,2022-01-02 05:00:00,56,BNB
30,2022-01-02 06:00:00,58,BNB
31,2022-01-02 07:00:00,53,BNB
32,2022-01-02 08:00:00,50,BNB
33,2022-01-02 09:00:00,62,BNB
34,2022-01-02 10:00:00,57,BNB
35,2022-01-02 11:00:00,60,BNB
36,2022-01-02 12:00:00,59,BNB
37,2022-01-02 13:00:00,61,BNB
38,2022-01-02 14:00:00,63,BNB
39,2022-01-02 15:00:00,69,BNB
40,2022-01-02 16:00:00,63,BNB
41,2022-01-02 17:00:00,69,BNB
42,2022-01-02 18:00:00,72,BNB
43,2022-01-02 19:00:00,76,BNB
44,2022-01-02 20:00:00,73,BNB
45,2022-01-02 21:00:00,87,BNB
46,2022-01-02 22:00:00,88,BNB
47,2022-01-02 23:00:00,81,BNB
48,2022-01-03 00:00:00,100,BNB
49,2022-01-03 01:00:00,85,BNB
50,2022-01-03 02:00:00,79,BNB
51,2022-01-03 03:00:00,74,BNB
52,2022-01-03 04:00:00,63,BNB
53,2022-01-03 05:00:00,63,BNB
54,2022-01-03 06:00:00,55,BNB
55,2022-01-03 07:00:00,43,BNB
56,2022-01-03 08:00:00,44,BNB
57,2022-01-03 09:00:00,53,BNB
58,2022-01-03 10:00:00,63,BNB
59,2022-01-03 11:00:00,62,BNB
60,2022-01-03 12:00:00,49,BNB
61,2022-01-03 13:00:00,55,BNB
62,2022-01-03 14:00:00,62,BNB
63,2022-01-03 15:00:00,63,BNB
64,2022-01-03 16:00:00,67,BNB
65,2022-01-03 17:00:00,76,BNB
66,2022-01-03 18:00:00,65,BNB
67,2022-01-03 19:00:00,77,BNB
68,2022-01-03 20:00:00,92,BNB
69,2022-01-03 21:00:00,86,BNB
70,2022-01-03 22:00:00,72,BNB
71,2022-01-03 23:00:00,86,BNB
72,2022-01-04 00:00:00,88,BNB
73,2022-01-04 01:00:00,70,BNB
74,2022-01-04 02:00:00,73,BNB
75,2022-01-04 03:00:00,73,BNB
76,2022-01-04 04:00:00,48,BNB
77,2022-01-04 05:00:00,70,BNB
78,2022-01-04 06:00:00,51,BNB
79,2022-01-04 07:00:00,49,BNB
80,2022-01-04 08:00:00,42,BNB
81,2022-01-04 09:00:00,50,BNB
82,2022-01-04 10:00:00,56,BNB
83,2022-01-04 11:00:00,58,BNB
84,2022-01-04 12:00:00,57,BNB
85,2022-01-04 13:00:00,58,BNB
86,2022-01-04 14:00:00,63,BNB
87,2022-01-04 15:00:00,60,BNB
88,2022-01-04 16:00:00,54,BNB
89,2022-01-04 17:00:00,70,BNB
90,2022-01-04 18:00:00,66,BNB
91,2022-01-04 19:00:00,79,BNB
92,2022-01-04 20:00:00,76,BNB
93,2022-01-04 21:00:00,82,BNB
94,2022-01-04 22:00:00,81,BNB
95,2022-01-04 23:00:00,77,BNB
96,2022-01-05 00:00:00,77,BNB
97,2022-01-05 01:00:00,76,BNB
98,2022-01-05 02:00:00,77,BNB
99,2022-01-05 03:00:00,61,BNB
100,2022-01-05 04:00:00,70,BNB
101,2022-01-05 05:00:00,56,BNB
102,2022-01-05 06:00:00,60,BNB
103,2022-01-05 07:00:00,51,BNB
104,2022-01-05 08:00:00,48,BNB
105,2022-01-05 09:00:00,40,BNB
106,2022-01-05 10:00:00,50,BNB
107,2022-01-05 11:00:00,59,BNB
108,2022-01-05 12:00:00,43,BNB
109,2022-01-05 13:00:00,46,BNB
110,2022-01-05 14:00:00,61,BNB
111,2022-01-05 15:00:00,64,BNB
112,2022-01-05 16:00:00,63,BNB
113,2022-01-05 17:00:00,64,BNB
114,2022-01-05 18:00:00,63,BNB
115,2022-01-05 19:00:00,70,BNB
116,2022-01-05 20:00:00,80,BNB
117,2022-01-05 21:00:00,95,BNB
118,2022-01-05 22:00:00,81,BNB
119,2022-01-05 23:00:00,71,BNB
120,2022-01-06 00:00:00,81,BNB
121,2022-01-06 01:00:00,79,BNB
122,2022-01-06 02:00:00,77,BNB
123,2022-01-06 03:00:00,66,BNB
124,2022-01-06 04:00:00,58,BNB
125,2022-01-06 05:00:00,66,BNB
126,2022-01-06 06:00:00,50,BNB
127,2022-01-06 07:00:00,53,BNB
128,2022-01-06 08:00:00,47,BNB
129,2022-01-06 09:00:00,55,BNB
130,2022-01-06 10:00:00,42,BNB
131,2022-01-06 11:00:00,52,BNB
132,2022-01-06 12:00:00,58,BNB
133,2022-01-06 13:00:00,56,BNB
134,2022-01-06 14:00:00,59,BNB
135,2022-01-06 15:00:00,55,BNB
136,2022-01-06 16:00:00,62,BNB
137,2022-01-06 17:00:00,60,BNB
138,2022-01-06 18:00:00,69,BNB
139,2022-01-06 19:00:00,71,BNB
140,2022-01-06 20:00:00,70,BNB
141,2022-01-06 21:00:00,75,BNB
142,2022-01-06 22:00:00,74,BNB
143,2022-01-06 23:00:00,58,BNB
0,2022-01-07 00:00:00,87,BNB
1,2022-01-07 01:00:00,82,BNB
2,2022-01-07 02:00:00,90,BNB
3,2022-01-07 03:00:00,82,BNB
4,2022-01-07 04:00:00,70,BNB
5,2022-01-07 05:00:00,72,BNB
6,2022-01-07 06:00:00,57,BNB
7,2022-01-07 07:00:00,49,BNB
8,2022-01-07 08:00:00,45,BNB
9,2022-01-07 09:00:00,52,BNB
10,2022-01-07 10:00:00,65,BNB
11,2022-01-07 11:00:00,67,BNB
12,2022-01-07 12:00:00,64,BNB
13,2022-01-07 13:00:00,62,BNB
14,2022-01-07 14:00:00,69,BNB
15,2022-01-07 15:00:00,53,BNB
16,2022-01-07 16:00:00,70,BNB
17,2022-01-07 17:00:00,65,BNB
18,2022-01-07 18:00:00,73,BNB
19,2022-01-07 19:00:00,77,BNB
20,2022-01-07 20:00:00,79,BNB
21,2022-01-07 21:00:00,79,BNB
22,2022-01-07 22:00:00,74,BNB
23,2022-01-07 23:00:00,74,BNB
24,2022-01-08 00:00:00,68,BNB
25,2022-01-08 01:00:00,78,BNB
26,2022-01-08 02:00:00,83,BNB
27,2022-01-08 03:00:00,64,BNB
28,2022-01-08 04:00:00,69,BNB
29,2022-01-08 05:00:00,67,BNB
30,2022-01-08 06:00:00,52,BNB
31,2022-01-08 07:00:00,52,BNB
32,2022-01-08 08:00:00,59,BNB
33,2022-01-08 09:00:00,52,BNB
34,2022-01-08 10:00:00,55,BNB
35,2022-01-08 11:00:00,66,BNB
36,2022-01-08 12:00:00,67,BNB
37,2022-01-08 13:00:00,66,BNB
38,2022-01-08 14:00:00,58,BNB
39,2022-01-08 15:00:00,65,BNB
40,2022-01-08 16:00:00,67,BNB
41,2022-01-08 17:00:00,74,BNB
42,2022-01-08 18:00:00,79,BNB
43,2022-01-08 19:00:00,78,BNB
44,2022-01-08 20:00:00,85,BNB
45,2022-01-08 21:00:00,76,BNB
46,2022-01-08 22:00:00,92,BNB
47,2022-01-08 23:00:00,81,BNB
48,2022-01-09 00:00:00,78,BNB
49,2022-01-09 01:00:00,88,BNB
50,2022-01-09 02:00:00,73,BNB
51,2022-01-09 03:00:00,74,BNB
52,2022-01-09 04:00:00,72,BNB
53,2022-01-09 05:00:00,64,BNB
54,2022-01-09 06:00:00,54,BNB
55,2022-01-09 07:00:00,54,BNB
