,timestamp,extracted_value,query
0,1679875200,74,BNB
1,1679878800,74,BNB
2,1679882400,59,BNB
3,1679886000,47,BNB
4,1679889600,45,BNB
5,1679893200,55,BNB
6,1679896800,53,BNB
7,1679900400,50,BNB
8,1679904000,69,BNB
9,1679907600,58,BNB
10,1679911200,53,BNB
11,1679914800,70,BNB
12,1679918400,62,BNB
13,1679922000,64,BNB
14,1679925600,67,BNB
15,1679929200,63,BNB
16,1679932800,67,BNB
17,1679936400,69,BNB
18,1679940000,78,BNB
19,1679943600,95,BNB
20,1679947200,100,BNB
21,1679950800,84,BNB
22,1679954400,66,BNB
23,1679958000,71,BNB
24,1679961600,83,BNB
25,1679965200,59,BNB
26,1679968800,64,BNB
27,1679972400,59,BNB
28,1679976000,45,BNB
29,1679979600,51,BNB
30,1679983200,59,BNB
31,1679986800,50,BNB
32,1679990400,58,BNB
33,1679994000,53,BNB
34,1679997600,69,BNB
35,1680001200,61,BNB
36,1680004800,56,BNB
37,1680008400,70,BNB
38,1680012000,58,BNB
39,1680015600,65,BNB
40,1680019200,61,BNB
41,1680022800,84,BNB
42,1680026400,70,BNB
43,1680030000,75,BNB
44,1680033600,83,BNB
45,1680037200,69,BNB
46,1680040800,64,BNB
47,1680044400,68,BNB
48,1680048000,60,BNB
49,1680051600,66,BNB
50,1680055200,56,BNB
51,1680058800,69,BNB
52,1680062400,39,BNB
53,1680066000,48,BNB
54,1680069600,49,BNB
55,1680073200,48,BNB
56,1680076800,58,BNB
57,1680080400,60,BNB
58,1680084000,51,BNB
59,1680087600,62,BNB
60,1680091200,60,BNB
61,1680094800,65,BNB
62,1680098400,65,BNB
63,1680102000,51,BNB
64,1680105600,64,BNB
65,1680109200,63,BNB
66,1680112800,72,BNB
67,1680116400,77,BNB
68,1680120000,83,BNB
69,1680123600,82,BNB
70,1680127200,61,BNB
71,1680130800,69,BNB
72,1680134400,56,BNB
73,1680138000,68,BNB
74,1680141600,63,BNB
75,1680145200,57,BNB
76,1680148800,41,BNB
77,1680152400,37,BNB
78,1680156000,47,BNB
79,1680159600,43,BNB
80,1680163200,63,BNB
81,1680166800,66,BNB
82,1680170400,64,BNB
83,1680174000,51,BNB
84,1680177600,69,BNB
85,1680181200,53,BNB
86,1680184800,64,BNB
87,1680188400,54,BNB
88,1680192000,69,BNB
89,1680195600,67,BNB
90,1680199200,56,BNB
91,1680202800,67,BNB
92,1680206400,83,BNB
93,1680210000,59,BNB
94,1680213600,70,BNB
95,1680217200,73,BNB
96,1680220800,59,BNB
97,1680224400,56,BNB
98,1680228000,41,BNB
99,1680231600,49,BNB
100,1680235200,40,BNB
101,1680238800,47,BNB
102,1680242400,39,BNB
103,1680246000,44,BNB
104,1680249600,53,BNB
105,1680253200,60,BNB
106,1680256800,48,BNB
107,1680260400,53,BNB
108,1680264000,50,BNB
109,1680267600,58,BNB
110,1680271200,57,BNB
111,1680274800,58,BNB
112,1680278400,57,BNB
113,1680282000,60,BNB
114,1680285600,59,BNB
115,1680289200,57,BNB
116,1680292800,66,BNB
117,1680296400,80,BNB
118,1680300000,76,BNB
119,1680303600,58,BNB
120,1680307200,50,BNB
121,1680310800,64,BNB
122,1680314400,45,BNB
123,1680318000,51,BNB
124,1680321600,49,BNB
125,1680325200,41,BNB
126,1680328800,45,BNB
127,1680332400,54,BNB
128,1680336000,44,BNB
129,1680339600,35,BNB
130,1680343200,55,BNB
131,1680346800,57,BNB
132,1680350400,40,BNB
133,1680354000,54,BNB
134,1680357600,54,BNB
135,1680361200,50,BNB
136,1680364800,60,BNB
137,1680368400,60,BNB
138,1680372000,65,BNB
139,1680375600,68,BNB
140,1680379200,55,BNB
141,1680382800,69,BNB
142,1680386400,70,BNB
143,1680390000,64,BNB
144,1680393600,49,BNB
