,timestamp,extracted_value,query
0,2022-01-25 00:00:00,100,Bitcoin
1,2022-01-25 01:00:00,89,Bitcoin
2,2022-01-25 02:00:00,84,Bitcoin
3,2022-01-25 03:00:00,80,Bitcoin
4,2022-01-25 04:00:00,76,Bitcoin
5,2022-01-25 05:00:00,78,Bitcoin
6,2022-01-25 06:00:00,84,Bitcoin
7,2022-01-25 07:00:00,82,Bitcoin
8,2022-01-25 08:00:00,78,Bitcoin
9,2022-01-25 09:00:00,76,Bitcoin
10,2022-01-25 10:00:00,78,Bitcoin
11,2022-01-25 11:00:00,78,Bitcoin
12,2022-01-25 12:00:00,76,Bitcoin
13,2022-01-25 13:00:00,75,Bitcoin
14,2022-01-25 14:00:00,79,Bitcoin
15,2022-01-25 15:00:00,84,Bitcoin
16,2022-01-25 16:00:00,82,Bitcoin
17,2022-01-25 17:00:00,82,Bitcoin
18,2022-01-25 18:00:00,82,Bitcoin
19,2022-01-25 19:00:00,86,Bitcoin
20,2022-01-25 20:00:00,87,Bitcoin
21,2022-01-25 21:00:00,99,Bitcoin
22,2022-01-25 22:00:00,98,Bitcoin
23,2022-01-25 23:00:00,86,Bitcoin
24,2022-01-26 00:00:00,77,Bitcoin
25,2022-01-26 01:00:00,63,Bitcoin
26,2022-01-26 02:00:00,63,Bitcoin
27,2022-01-26 03:00:00,68,Bitcoin
28,2022-01-26 04:00:00,66,Bitcoin
29,2022-01-26 05:00:00,68,Bitcoin
30,2022-01-26 06:00:00,72,Bitcoin
31,2022-01-26 07:00:00,69,Bitcoin
32,2022-01-26 08:00:00,69,Bitcoin
33,2022-01-26 09:00:00,69,Bitcoin
34,2022-01-26 10:00:00,71,Bitcoin
35,2022-01-26 11:00:00,70,Bitcoin
36,2022-01-26 12:00:00,72,Bitcoin
37,2022-01-26 13:00:00,73,Bitcoin
38,2022-01-26 14:00:00,79,Bitcoin
39,2022-01-26 15:00:00,77,Bitcoin
40,2022-01-26 16:00:00,77,Bitcoin
41,2022-01-26 17:00:00,80,Bitcoin
42,2022-01-26 18:00:00,80,Bitcoin
43,2022-01-26 19:00:00,85,Bitcoin
44,2022-01-26 20:00:00,92,Bitcoin
45,2022-01-26 21:00:00,93,Bitcoin
46,2022-01-26 22:00:00,88,Bitcoin
47,2022-01-26 23:00:00,78,Bitcoin
48,2022-01-27 00:00:00,66,Bitcoin
49,2022-01-27 01:00:00,65,Bitcoin
50,2022-01-27 02:00:00,68,Bitcoin
