,timestamp,extracted_value,query
0,1658102400,48,Bitcoin
1,1658106000,54,Bitcoin
2,1658109600,48,Bitcoin
3,1658113200,55,Bitcoin
4,1658116800,50,Bitcoin
5,1658120400,61,Bitcoin
6,1658124000,63,Bitcoin
7,1658127600,64,Bitcoin
8,1658131200,62,Bitcoin
9,1658134800,62,Bitcoin
10,1658138400,69,Bitcoin
11,1658142000,67,Bitcoin
12,1658145600,61,Bitcoin
13,1658149200,65,Bitcoin
14,1658152800,66,Bitcoin
15,1658156400,66,Bitcoin
16,1658160000,70,Bitcoin
17,1658163600,64,Bitcoin
18,1658167200,67,Bitcoin
19,1658170800,66,Bitcoin
20,1658174400,69,Bitcoin
21,1658178000,67,Bitcoin
22,1658181600,73,Bitcoin
23,1658185200,63,Bitcoin
24,1658188800,65,Bitcoin
25,1658192400,54,Bitcoin
26,1658196000,60,Bitcoin
27,1658199600,51,Bitcoin
28,1658203200,56,Bitcoin
29,1658206800,60,Bitcoin
30,1658210400,50,Bitcoin
31,1658214000,56,Bitcoin
32,1658217600,53,Bitcoin
33,1658221200,51,Bitcoin
34,1658224800,57,Bitcoin
35,1658228400,54,Bitcoin
36,1658232000,55,Bitcoin
37,1658235600,57,Bitcoin
38,1658239200,60,Bitcoin
39,1658242800,63,Bitcoin
40,1658246400,74,Bitcoin
41,1658250000,68,Bitcoin
42,1658253600,70,Bitcoin
43,1658257200,78,Bitcoin
44,1658260800,84,Bitcoin
45,1658264400,75,Bitcoin
46,1658268000,71,Bitcoin
47,1658271600,63,Bitcoin
48,1658275200,52,Bitcoin
49,1658278800,60,Bitcoin
50,1658282400,60,Bitcoin
51,1658286000,58,Bitcoin
52,1658289600,58,Bitcoin
53,1658293200,61,Bitcoin
54,1658296800,62,Bitcoin
55,1658300400,64,Bitcoin
56,1658304000,59,Bitcoin
57,1658307600,62,Bitcoin
58,1658311200,65,Bitcoin
59,1658314800,64,Bitcoin
60,1658318400,70,Bitcoin
61,1658322000,72,Bitcoin
62,1658325600,68,Bitcoin
63,1658329200,79,Bitcoin
64,1658332800,73,Bitcoin
65,1658336400,71,Bitcoin
66,1658340000,71,Bitcoin
67,1658343600,70,Bitcoin
68,1658347200,100,Bitcoin
69,1658350800,98,Bitcoin
70,1658354400,87,Bitcoin
71,1658358000,70,Bitcoin
72,1658361600,74,Bitcoin
73,1658365200,64,Bitcoin
74,1658368800,66,Bitcoin
75,1658372400,63,Bitcoin
76,1658376000,71,Bitcoin
77,1658379600,78,Bitcoin
78,1658383200,78,Bitcoin
79,1658386800,72,Bitcoin
80,1658390400,71,Bitcoin
81,1658394000,68,Bitcoin
82,1658397600,76,Bitcoin
83,1658401200,73,Bitcoin
84,1658404800,72,Bitcoin
85,1658408400,79,Bitcoin
86,1658412000,79,Bitcoin
87,1658415600,71,Bitcoin
88,1658419200,71,Bitcoin
89,1658422800,74,Bitcoin
90,1658426400,73,Bitcoin
91,1658430000,72,Bitcoin
92,1658433600,81,Bitcoin
93,1658437200,75,Bitcoin
94,1658440800,71,Bitcoin
95,1658444400,59,Bitcoin
96,1658448000,55,Bitcoin
97,1658451600,55,Bitcoin
98,1658455200,53,Bitcoin
99,1658458800,52,Bitcoin
100,1658462400,57,Bitcoin
101,1658466000,62,Bitcoin
102,1658469600,64,Bitcoin
103,1658473200,59,Bitcoin
104,1658476800,61,Bitcoin
105,1658480400,62,Bitcoin
106,1658484000,65,Bitcoin
107,1658487600,61,Bitcoin
108,1658491200,61,Bitcoin
109,1658494800,58,Bitcoin
110,1658498400,64,Bitcoin
111,1658502000,59,Bitcoin
112,1658505600,56,Bitcoin
113,1658509200,58,Bitcoin
114,1658512800,63,Bitcoin
115,1658516400,61,Bitcoin
116,1658520000,67,Bitcoin
117,1658523600,61,Bitcoin
118,1658527200,62,Bitcoin
119,1658530800,54,Bitcoin
120,1658534400,55,Bitcoin
121,1658538000,46,Bitcoin
122,1658541600,44,Bitcoin
123,1658545200,44,Bitcoin
124,1658548800,45,Bitcoin
125,1658552400,48,Bitcoin
126,1658556000,51,Bitcoin
127,1658559600,48,Bitcoin
128,1658563200,48,Bitcoin
129,1658566800,46,Bitcoin
130,1658570400,46,Bitcoin
131,1658574000,49,Bitcoin
132,1658577600,54,Bitcoin
133,1658581200,48,Bitcoin
134,1658584800,50,Bitcoin
135,1658588400,49,Bitcoin
136,1658592000,47,Bitcoin
137,1658595600,47,Bitcoin
138,1658599200,56,Bitcoin
139,1658602800,53,Bitcoin
140,1658606400,55,Bitcoin
141,1658610000,58,Bitcoin
142,1658613600,56,Bitcoin
143,1658617200,49,Bitcoin
144,1658620800,45,Bitcoin
