,timestamp,extracted_value,query
0,2022-01-01 00:00:00,51,Dogecoin
1,2022-01-01 01:00:00,54,Dogecoin
2,2022-01-01 02:00:00,56,Dogecoin
3,2022-01-01 03:00:00,44,Dogecoin
4,2022-01-01 04:00:00,57,Dogecoin
5,2022-01-01 05:00:00,81,Dogecoin
6,2022-01-01 06:00:00,57,Dogecoin
7,2022-01-01 07:00:00,59,Dogecoin
8,2022-01-01 08:00:00,58,Dogecoin
9,2022-01-01 09:00:00,60,Dogecoin
10,2022-01-01 10:00:00,62,Dogecoin
11,2022-01-01 11:00:00,45,Dogecoin
12,2022-01-01 12:00:00,40,Dogecoin
13,2022-01-01 13:00:00,58,Dogecoin
14,2022-01-01 14:00:00,48,Dogecoin
15,2022-01-01 15:00:00,59,Dogecoin
16,2022-01-01 16:00:00,62,Dogecoin
17,2022-01-01 17:00:00,77,Dogecoin
18,2022-01-01 18:00:00,75,Dogecoin
19,2022-01-01 19:00:00,58,Dogecoin
20,2022-01-01 20:00:00,85,Dogecoin
21,2022-01-01 21:00:00,77,Dogecoin
22,2022-01-01 22:00:00,75,Dogecoin
23,2022-01-01 23:00:00,79,Dogecoin
24,2022-01-02 00:00:00,69,Dogecoin
25,2022-01-02 01:00:00,66,Dogecoin
26,2022-01-02 02:00:00,69,Dogecoin
27,2022-01-02 03:00:00,78,Dogecoin
28,2022-01-02 04:00:00,69,Dogecoin
29,2022-01-02 05:00:00,54,Dogecoin
30,2022-01-02 06:00:00,56,Dogecoin
31,2022-01-02 07:00:00,64,Dogecoin
32,2022-01-02 08:00:00,49,Dogecoin
33,2022-01-02 09:00:00,59,Dogecoin
34,2022-01-02 10:00:00,75,Dogecoin
35,2022-01-02 11:00:00,69,Dogecoin
36,2022-01-02 12:00:00,54,Dogecoin
37,2022-01-02 13:00:00,52,Dogecoin
38,2022-01-02 14:00:00,66,Dogecoin
39,2022-01-02 15:00:00,74,Dogecoin
40,2022-01-02 16:00:00,76,Dogecoin
41,2022-01-02 17:00:00,70,Dogecoin
42,2022-01-02 18:00:00,77,Dogecoin
43,2022-01-02 19:00:00,79,Dogecoin
44,2022-01-02 20:00:00,69,Dogecoin
45,2022-01-02 21:00:00,57,Dogecoin
46,2022-01-02 22:00:00,79,Dogecoin
47,2022-01-02 23:00:00,85,Dogecoin
48,2022-01-03 00:00:00,69,Dogecoin
