,timestamp,extracted_value,query
0,1648771200,16,Dogecoin
1,1648774800,18,Dogecoin
2,1648778400,19,Dogecoin
3,1648782000,24,Dogecoin
4,1648785600,27,Dogecoin
5,1648789200,17,Dogecoin
6,1648792800,23,Dogecoin
7,1648796400,27,Dogecoin
8,1648800000,15,Dogecoin
9,1648803600,16,Dogecoin
10,1648807200,18,Dogecoin
11,1648810800,19,Dogecoin
12,1648814400,19,Dogecoin
13,1648818000,15,Dogecoin
14,1648821600,18,Dogecoin
15,1648825200,19,Dogecoin
16,1648828800,28,Dogecoin
17,1648832400,15,Dogecoin
18,1648836000,22,Dogecoin
19,1648839600,22,Dogecoin
20,1648843200,25,Dogecoin
21,1648846800,25,Dogecoin
22,1648850400,28,Dogecoin
23,1648854000,22,Dogecoin
24,1648857600,16,Dogecoin
25,1648861200,25,Dogecoin
26,1648864800,28,Dogecoin
27,1648868400,21,Dogecoin
28,1648872000,26,Dogecoin
29,1648875600,22,Dogecoin
30,1648879200,27,Dogecoin
31,1648882800,25,Dogecoin
32,1648886400,23,Dogecoin
33,1648890000,19,Dogecoin
34,1648893600,17,Dogecoin
35,1648897200,25,Dogecoin
36,1648900800,20,Dogecoin
37,1648904400,23,Dogecoin
38,1648908000,15,Dogecoin
39,1648911600,21,Dogecoin
40,1648915200,18,Dogecoin
41,1648918800,22,Dogecoin
42,1648922400,23,Dogecoin
43,1648926000,20,Dogecoin
44,1648929600,19,Dogecoin
45,1648933200,28,Dogecoin
46,1648936800,23,Dogecoin
47,1648940400,23,Dogecoin
48,1648944000,27,Dogecoin
49,1648947600,21,Dogecoin
50,1648951200,14,Dogecoin
51,1648954800,31,Dogecoin
52,1648958400,19,Dogecoin
53,1648962000,22,Dogecoin
54,1648965600,15,Dogecoin
55,1648969200,18,Dogecoin
56,1648972800,26,Dogecoin
57,1648976400,18,Dogecoin
58,1648980000,21,Dogecoin
59,1648983600,16,Dogecoin
60,1648987200,15,Dogecoin
61,1648990800,25,Dogecoin
62,1648994400,27,Dogecoin
63,1648998000,23,Dogecoin
64,1649001600,26,Dogecoin
65,1649005200,23,Dogecoin
66,1649008800,21,Dogecoin
67,1649012400,22,Dogecoin
68,1649016000,19,Dogecoin
69,1649019600,26,Dogecoin
70,1649023200,31,Dogecoin
71,1649026800,17,Dogecoin
72,1649030400,27,Dogecoin
73,1649034000,22,Dogecoin
74,1649037600,22,Dogecoin
75,1649041200,25,Dogecoin
76,1649044800,28,Dogecoin
77,1649048400,19,Dogecoin
78,1649052000,21,Dogecoin
79,1649055600,21,Dogecoin
80,1649059200,22,Dogecoin
81,1649062800,17,Dogecoin
82,1649066400,26,Dogecoin
83,1649070000,46,Dogecoin
84,1649073600,33,Dogecoin
85,1649077200,31,Dogecoin
86,1649080800,27,Dogecoin
87,1649084400,26,Dogecoin
88,1649088000,34,Dogecoin
89,1649091600,31,Dogecoin
90,1649095200,31,Dogecoin
91,1649098800,33,Dogecoin
92,1649102400,35,Dogecoin
93,1649106000,35,Dogecoin
94,1649109600,33,Dogecoin
95,1649113200,31,Dogecoin
96,1649116800,28,Dogecoin
97,1649120400,31,Dogecoin
98,1649124000,27,Dogecoin
99,1649127600,21,Dogecoin
100,1649131200,27,Dogecoin
101,1649134800,32,Dogecoin
102,1649138400,29,Dogecoin
103,1649142000,25,Dogecoin
104,1649145600,24,Dogecoin
105,1649149200,24,Dogecoin
106,1649152800,25,Dogecoin
107,1649156400,27,Dogecoin
108,1649160000,28,Dogecoin
109,1649163600,40,Dogecoin
110,1649167200,43,Dogecoin
111,1649170800,50,Dogecoin
112,1649174400,74,Dogecoin
113,1649178000,100,Dogecoin
114,1649181600,65,Dogecoin
115,1649185200,51,Dogecoin
116,1649188800,57,Dogecoin
117,1649192400,58,Dogecoin
118,1649196000,51,Dogecoin
119,1649199600,70,Dogecoin
120,1649203200,50,Dogecoin
121,1649206800,46,Dogecoin
122,1649210400,45,Dogecoin
123,1649214000,36,Dogecoin
124,1649217600,45,Dogecoin
125,1649221200,38,Dogecoin
126,1649224800,35,Dogecoin
127,1649228400,32,Dogecoin
128,1649232000,32,Dogecoin
129,1649235600,32,Dogecoin
130,1649239200,25,Dogecoin
131,1649242800,28,Dogecoin
132,1649246400,27,Dogecoin
133,1649250000,43,Dogecoin
134,1649253600,35,Dogecoin
135,1649257200,34,Dogecoin
136,1649260800,36,Dogecoin
137,1649264400,40,Dogecoin
138,1649268000,31,Dogecoin
139,1649271600,33,Dogecoin
140,1649275200,35,Dogecoin
141,1649278800,35,Dogecoin
142,1649282400,35,Dogecoin
143,1649286000,33,Dogecoin
144,1649289600,32,Dogecoin
