,timestamp,extracted_value,query
0,2022-01-01 00:00:00,51,Ethereum
1,2022-01-01 01:00:00,49,Ethereum
2,2022-01-01 02:00:00,47,Ethereum
3,2022-01-01 03:00:00,45,Ethereum
4,2022-01-01 04:00:00,46,Ethereum
5,2022-01-01 05:00:00,47,Ethereum
6,2022-01-01 06:00:00,44,Ethereum
7,2022-01-01 07:00:00,45,Ethereum
8,2022-01-01 08:00:00,48,Ethereum
9,2022-01-01 09:00:00,54,Ethereum
10,2022-01-01 10:00:00,47,Ethereum
11,2022-01-01 11:00:00,48,Ethereum
12,2022-01-01 12:00:00,53,Ethereum
13,2022-01-01 13:00:00,44,Ethereum
14,2022-01-01 14:00:00,52,Ethereum
15,2022-01-01 15:00:00,51,Ethereum
16,2022-01-01 16:00:00,55,Ethereum
17,2022-01-01 17:00:00,50,Ethereum
18,2022-01-01 18:00:00,57,Ethereum
19,2022-01-01 19:00:00,66,Ethereum
20,2022-01-01 20:00:00,55,Ethereum
21,2022-01-01 21:00:00,50,Ethereum
22,2022-01-01 22:00:00,64,Ethereum
23,2022-01-01 23:00:00,66,Ethereum
24,2022-01-02 00:00:00,66,Ethereum
25,2022-01-02 01:00:00,55,Ethereum
26,2022-01-02 02:00:00,55,Ethereum
27,2022-01-02 03:00:00,62,Ethereum
28,2022-01-02 04:00:00,54,Ethereum
29,2022-01-02 05:00:00,51,Ethereum
30,2022-01-02 06:00:00,47,Ethereum
31,2022-01-02 07:00:00,57,Ethereum
32,2022-01-02 08:00:00,53,Ethereum
33,2022-01-02 09:00:00,51,Ethereum
34,2022-01-02 10:00:00,46,Ethereum
35,2022-01-02 11:00:00,48,Ethereum
36,2022-01-02 12:00:00,49,Ethereum
37,2022-01-02 13:00:00,50,Ethereum
38,2022-01-02 14:00:00,56,Ethereum
39,2022-01-02 15:00:00,48,Ethereum
40,2022-01-02 16:00:00,57,Ethereum
41,2022-01-02 17:00:00,53,Ethereum
42,2022-01-02 18:00:00,58,Ethereum
43,2022-01-02 19:00:00,60,Ethereum
44,2022-01-02 20:00:00,65,Ethereum
45,2022-01-02 21:00:00,63,Ethereum
46,2022-01-02 22:00:00,67,Ethereum
47,2022-01-02 23:00:00,68,Ethereum
48,2022-01-03 00:00:00,68,Ethereum
49,2022-01-03 01:00:00,60,Ethereum
50,2022-01-03 02:00:00,49,Ethereum
51,2022-01-03 03:00:00,49,Ethereum
52,2022-01-03 04:00:00,49,Ethereum
53,2022-01-03 05:00:00,47,Ethereum
54,2022-01-03 06:00:00,48,Ethereum
55,2022-01-03 07:00:00,41,Ethereum
56,2022-01-03 08:00:00,45,Ethereum
57,2022-01-03 09:00:00,43,Ethereum
58,2022-01-03 10:00:00,53,Ethereum
59,2022-01-03 11:00:00,47,Ethereum
60,2022-01-03 12:00:00,46,Ethereum
61,2022-01-03 13:00:00,47,Ethereum
62,2022-01-03 14:00:00,49,Ethereum
63,2022-01-03 15:00:00,51,Ethereum
64,2022-01-03 16:00:00,57,Ethereum
65,2022-01-03 17:00:00,53,Ethereum
66,2022-01-03 18:00:00,56,Ethereum
67,2022-01-03 19:00:00,56,Ethereum
68,2022-01-03 20:00:00,69,Ethereum
69,2022-01-03 21:00:00,67,Ethereum
70,2022-01-03 22:00:00,60,Ethereum
71,2022-01-03 23:00:00,62,Ethereum
72,2022-01-04 00:00:00,57,Ethereum
73,2022-01-04 01:00:00,53,Ethereum
74,2022-01-04 02:00:00,56,Ethereum
75,2022-01-04 03:00:00,49,Ethereum
76,2022-01-04 04:00:00,49,Ethereum
77,2022-01-04 05:00:00,53,Ethereum
78,2022-01-04 06:00:00,47,Ethereum
79,2022-01-04 07:00:00,43,Ethereum
80,2022-01-04 08:00:00,47,Ethereum
81,2022-01-04 09:00:00,45,Ethereum
82,2022-01-04 10:00:00,45,Ethereum
83,2022-01-04 11:00:00,62,Ethereum
84,2022-01-04 12:00:00,52,Ethereum
85,2022-01-04 13:00:00,46,Ethereum
86,2022-01-04 14:00:00,60,Ethereum
87,2022-01-04 15:00:00,51,Ethereum
88,2022-01-04 16:00:00,57,Ethereum
89,2022-01-04 17:00:00,54,Ethereum
90,2022-01-04 18:00:00,53,Ethereum
91,2022-01-04 19:00:00,57,Ethereum
92,2022-01-04 20:00:00,54,Ethereum
