,timestamp,extracted_value,query
0,1678838400,68,Ethereum
1,1678842000,56,Ethereum
2,1678845600,53,Ethereum
3,1678849200,52,Ethereum
4,1678852800,52,Ethereum
5,1678856400,66,Ethereum
6,1678860000,64,Ethereum
7,1678863600,58,Ethereum
8,1678867200,63,Ethereum
9,1678870800,53,Ethereum
10,1678874400,54,Ethereum
11,1678878000,66,Ethereum
12,1678881600,64,Ethereum
13,1678885200,67,Ethereum
14,1678888800,60,Ethereum
15,1678892400,64,Ethereum
16,1678896000,62,Ethereum
17,1678899600,66,Ethereum
18,1678903200,66,Ethereum
19,1678906800,58,Ethereum
20,1678910400,69,Ethereum
21,1678914000,65,Ethereum
22,1678917600,49,Ethereum
23,1678921200,61,Ethereum
24,1678924800,40,Ethereum
25,1678928400,48,Ethereum
26,1678932000,55,Ethereum
27,1678935600,39,Ethereum
28,1678939200,57,Ethereum
29,1678942800,60,Ethereum
30,1678946400,45,Ethereum
31,1678950000,57,Ethereum
32,1678953600,44,Ethereum
33,1678957200,50,Ethereum
34,1678960800,51,Ethereum
35,1678964400,50,Ethereum
36,1678968000,43,Ethereum
37,1678971600,46,Ethereum
38,1678975200,57,Ethereum
39,1678978800,56,Ethereum
40,1678982400,52,Ethereum
41,1678986000,58,Ethereum
42,1678989600,57,Ethereum
43,1678993200,59,Ethereum
44,1678996800,55,Ethereum
45,1679000400,54,Ethereum
46,1679004000,72,Ethereum
47,1679007600,54,Ethereum
48,1679011200,56,Ethereum
49,1679014800,40,Ethereum
50,1679018400,52,Ethereum
51,1679022000,57,Ethereum
52,1679025600,58,Ethereum
53,1679029200,59,Ethereum
54,1679032800,63,Ethereum
55,1679036400,67,Ethereum
56,1679040000,54,Ethereum
57,1679043600,65,Ethereum
58,1679047200,76,Ethereum
59,1679050800,88,Ethereum
60,1679054400,65,Ethereum
61,1679058000,64,Ethereum
62,1679061600,72,Ethereum
63,1679065200,65,Ethereum
64,1679068800,66,Ethereum
65,1679072400,59,Ethereum
66,1679076000,97,Ethereum
67,1679079600,61,Ethereum
68,1679083200,84,Ethereum
69,1679086800,78,Ethereum
70,1679090400,92,Ethereum
71,1679094000,82,Ethereum
72,1679097600,66,Ethereum
73,1679101200,73,Ethereum
74,1679104800,61,Ethereum
75,1679108400,66,Ethereum
76,1679112000,74,Ethereum
77,1679115600,76,Ethereum
78,1679119200,71,Ethereum
79,1679122800,74,Ethereum
80,1679126400,78,Ethereum
81,1679130000,63,Ethereum
82,1679133600,56,Ethereum
83,1679137200,66,Ethereum
84,1679140800,66,Ethereum
85,1679144400,70,Ethereum
86,1679148000,63,Ethereum
87,1679151600,59,Ethereum
88,1679155200,50,Ethereum
89,1679158800,57,Ethereum
90,1679162400,63,Ethereum
91,1679166000,65,Ethereum
92,1679169600,68,Ethereum
93,1679173200,72,Ethereum
94,1679176800,67,Ethereum
95,1679180400,62,Ethereum
96,1679184000,64,Ethereum
97,1679187600,54,Ethereum
98,1679191200,58,Ethereum
99,1679194800,42,Ethereum
100,1679198400,63,Ethereum
101,1679202000,50,Ethereum
102,1679205600,78,Ethereum
103,1679209200,59,Ethereum
104,1679212800,56,Ethereum
105,1679216400,51,Ethereum
106,1679220000,54,Ethereum
107,1679223600,47,Ethereum
108,1679227200,65,Ethereum
109,1679230800,63,Ethereum
110,1679234400,53,Ethereum
111,1679238000,59,Ethereum
112,1679241600,63,Ethereum
113,1679245200,88,Ethereum
114,1679248800,66,Ethereum
115,1679252400,100,Ethereum
116,1679256000,85,Ethereum
117,1679259600,85,Ethereum
118,1679263200,80,Ethereum
119,1679266800,80,Ethereum
120,1679270400,61,Ethereum
121,1679274000,67,Ethereum
122,1679277600,60,Ethereum
123,1679281200,62,Ethereum
124,1679284800,68,Ethereum
125,1679288400,57,Ethereum
126,1679292000,66,Ethereum
127,1679295600,71,Ethereum
128,1679299200,91,Ethereum
129,1679302800,70,Ethereum
130,1679306400,70,Ethereum
131,1679310000,77,Ethereum
132,1679313600,74,Ethereum
133,1679317200,66,Ethereum
134,1679320800,59,Ethereum
135,1679324400,69,Ethereum
136,1679328000,67,Ethereum
137,1679331600,67,Ethereum
138,1679335200,61,Ethereum
139,1679338800,67,Ethereum
140,1679342400,74,Ethereum
141,1679346000,71,Ethereum
142,1679349600,77,Ethereum
143,1679353200,62,Ethereum
144,1679356800,58,Ethereum
